kod,megnevezes,vtsz,idegen_nev1
2130704200011T,"2 NÓDUSZ Pack (1 db Saracen pack + 5 l Rubric + 2,5 l SuperSpray) Kivonva",3808301100,
3113155100015,8N421CLDM (150 esz.) IMI napraforgó,1206001000,
2110019000005T,ACANTO 250 SC  5 l  (4x5 l)(Forg.: 2018.Junius 20.-ig),3808302700,
2110021800005T,ACANTO PLUS   5 l  (4x5 l) ,3808302700,
2110700930019T,"ACANTO Sun Csom. 20 ha (3x5 l Acanto+10x0,4 kg Tanos)(Forg.: 2018.Június20.-ig)",3808302700,
2110019100038T,ACANTO TRIO (3x5 l Accanto+3 l Talius+20 l Alert S),3808302700,
2130024522024T,"ACCENT 75 DF 0,24 kg + TREND 1 l    Forg:2016.03.31.-ig ",3808302700,
2130024522006T,ACCENT 75 DF 2x60 g   Forg:2016.03.31.-ig   ,3808302700,
2130024600000T,"ACCENT GOLD (40 db Accent  0,06 kg  + 100 l Successor T + 10 l Trend)",3808302700,
2130030521001,"ACCURATE 200 WG   0,1 kg (12x0,1 kg)+ (Fortuna/SuperSpray)  2,5 l",3808302700,
2130000200010T,ACENIT A 880 EC  10 l  Forgalmazható: 2012.12.31.,3808302100,
2130000200020T,ACENIT A 880 EC  20 l  Forgalmazható: 2012.12.31.,3808302100,
2130000200005T,ACENIT A 880 EC  5 l  (4x5 lit) Forgalmazható: 2012.12.31.,3808302100,
2120024900001,ACEPTIR 200 SE  1 l  (12x1 l)  ,3808208099,
3113250112010T,Achat tavaszi repce 2.100.000csíra/zsák Modesto+TMTD,1205101000,
3115500120020,Ackerfit Wintergrün Zöldítõ keverék nem csávázott,1008200000,
2110000110001,ACROBAT  MZ  WG   1 kg  (10x1 kg) Forg.: 2021. okt. 4-ig,3808203000,
2110000110010,ACROBAT MZ WG 10 kg  (1x10 kg) Forg.: 2021. okt. 4-ig,3808203000,
2120000123004T,"ACTARA 25 WG  0,004 kg  (15x0,004 kg) leveles",3808109000,
2120000122004T,"ACTARA 25 WG  0,04 kg  (20x0,04 kg)",3808109000,
2120000122025T,"ACTARA 25 WG  0,25 kg  (10x0,25 kg)",3808109000,
2120000103005T,"ACTARA SC  0,005 l  12x(20x0,005 l) ampulla Forg.: 2020. október 31-ig",3808109000,
2120000102005T,"ACTARA SC  0,05 l   (40 x 0,05 l) Forg.: 2020. október 31-ig",3808109000,
2120000102025,"ACTARA SC  0,25 l (20x0,25 l) Forg.: 2020. október 31-ig",38081090,
2120200100015T,"ACTARA SWITCH  csom.  (20x0,25 l Actara + 10x1 kg Switch)",3808109000,
2120009302005T,"ACTELLIC 50 EC  0,05 l",3808104000,
2120000200001T,ACTELLIC 50 EC  1 l  (12x1 l),3808104000,
2120000200005,ACTELLIC 50 EC  5 l  (4x5 l),3808104000,
1192121400005,Actiwave  5 l  (4x5 l),3105909999,
2192010800005T,AD CONTACT  5 l  (4x5 l),380830,
2192010800001,AD CONTACT 1 l  (16x1 l),380830,
2130000100001,ADENGO 1 l  (12x1 l),3808301100,
2130000100005,ADENGO 5 l  (4x5 l),3808301100,
2120000301002,"ADMIRAL 10 EC  0,2 l  (20x0,2 l)",3808109000,
2120000300001,ADMIRAL 10 EC  1 l  (12x1 l),3808109000,
1142204130025,ADOB EXTRA GABONA  NPK 15:15:15  25 kg-os,3105201000,
1142204140025,ADOB EXTRA NAPRAFORGÓ-REPCE NPK 10:5:15  25 kg-os,3105201000,
1192045120001,ADOB Mangán 1 kg ,3105909999,
1142204120010,ADOB PROFIT FOLIAR  NPK 4:12:38 +Me 10 kg,3105201000,
8205010300020,Adott egyéb eloleg,1,
8105010300299,Adott eloleg ÁFA körön kívüli,1,
8205010100298,Adott eloleg nem vissza igényelheto  Áfa (szem.gk),1,
8102130300001,Adott támogatás,1,
2130000310002T,"AFALON  0,2 l  (25x0,2 lit)",3808301500,
2130000310001,AFALON DISPERSION 1 l  (12x1 l) Forg.:2017.December 3.-ig,3808301500,
2130016000010T,AFALON+ACENIT 1ha-os (2 l+2 l),3808301100,
2120000522001,AFFIRM  1 kg  (10x1 kg),3808104000,
