sorszam,kod,rovid_nev,nev,iranyitoszam,varos,utca,telefon1,telefon2,telefon3,email,web,kulfoldi,ugyintezo,vevo_fokonyv,szallito_fokonyv,adoszam,vevo_tartozik,vevo_kovetel,szallito_tartozik,szallito_kovetel,maganjellegu,nev2,nev3,telefon4,vezeto,ugyintezo2,levelcim,level_irszam,level_varos,level_utca,level_szoveg,level_megjegyzes1,level_megjegyzes2,telefon1_tipus_sorszam,telefon2_tipus_sorszam,telefon3_tipus_sorszam,telefon4_tipus_sorszam,orszag,forma,telefon1_tipus,telefon2_tipus,telefon3_tipus,telefon4_tipus,telefon1_tipus_nev,telefon2_tipus_nev,telefon3_tipus_nev,telefon4_tipus_nev,vevo_fok,vevo_fok_nev,vevo_szamlatipus,szallito_fok,szallito_fok_nev,szall_szamlatipus,kulso_kod,jelleg_kod,jelleg_nev,jelleg,tipus_kod,tipus_nev,tipus,gln,vpid
14448,  ,Zöld-Termék Szöv.,Zöld-Termék Szöv,6794,Üllés,Árpád-dülõ 68/2,30-4513095,1,,,,0,,,,           ,,,,,0,,,,,,0,,,,,,,5,,,,,,05,,,,Rádiótelefon,,,,,,,,,,,,,,,,,,
10741," ,",Retkesné Bai Mónika,Retkesné Bai Mónika,6100,Kiskunfélegyháza,IX. ker. 254.,0670/3683226,,,,,0,,,,75738006223,,,,,0,,,,,,0,,,,,,,5,,,,,,05,,,,Rádiótelefon,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
11081, Í,Kis János ,Kis János,6000,Kecskemét,Úrrét 210,30/9674-559,,,,,0,,,,78644553123,,,,,0,,,,,,0,,,,,,,5,,,,,,05,,,,Rádiótelefon,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
14625,100001,Novochem Kft.,Novochem Kft.,1464,Budapest,Pf. 1403,30/625-5625,56/425-375,,,,0,,,,10793248244,,,,,0,,,,,,1,1089,Budapest,Orczy u. 6.,,,,5,2,,,,,05,02,,,Rádiótelefon,Hivatali fax,,,,,,,,,,NRM,Normál,1,,,,,
14629,100002,Dékány János,Dékány János,5440,Kunszentmárton,Pozsonyi u. 5/A,56/462-665,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,1,,,,,,01,,,,Hivatali telefon,,,,,,,,,,,NRM,Normál,1,,,,,
14630,100003,Papp Györgyné,Papp Györgyné,6640,Csongrád,Fõ u. 6-10.,20/575-7077,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,5,,,,,,05,,,,Rádiótelefon,,,,,,,,,,,NRM,Normál,1,,,,,
14632,100004,Szabó András,Szabó András,5452,Mesterszállás,Rozmaring u. 20.,56/313-073,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,1,,,,,,01,,,,Hivatali telefon,,,,,,,,,,,NRM,Normál,1,,,,,
5097,100005,Ábrahám Ferenc,Ábrahám Ferenc,2750,Nagykõrös,Szabadság Tér 2.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5098,100006,Ábrahám Ferencné,Ábrahám Ferencné,5065,Nagykõrös,Szabadság Tér 2.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5099,100007,Ábrahám Zsolt,Ábrahám Zsolt,2900,Komárom,Dózsa Gy.u.65.,30/396-29-84,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5100,100008,Szilágyi Ádám,Szilágyi Ádám,5465,Cserkeszõlõ,Szinyei M. P.u.42.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5101,100009,Szabó Kálmán,Szabó Kálmán,7712,Dunaszekcsõ,Kárász u.81.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5102,100010,Varga lajos,Varga Lajos,6647,Csanytelek,Petõfi u.12.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
5103,100011,Aczél László,Aczél László,6098,Tass,Kossuth L.krt. 14.,76/357-454,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,1,,,,,,01,,,,Hivatali telefon,,,,,,,,,,,,,,,,,,
5104,100012,Adacsi Kertész Szöve,Adacsi Kertész Szövetkezet,6097,Kunadacs,Kossuth u .38.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,Ü,Üzem,59,,
5105,100013,Ádám László,Ádám László,6060,Tiszakécske,Szkhalom 202.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5106,100014,Adorján Imre,Adorján Imre,6080,Szabadszállás,Wesselényi u. 3.,,,,,,0,,,,78661431123,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5107,100015,ADR Jármûjavító Kft,ADR Jármûjavító Kft,8181,Berhida,Péti u. 2/A.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5108,100016,Adria Bt,Adria Bt,2220,Vecsés,Fõ út 2/A.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5109,100017,Adria Trading Ker. K,Adria Trading Ker. Kft,6000,Kecskemét,Batthyány u.41.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5110,100018,APEH Bács-Kiskun Meg,APEH Bács-Kiskun Megyei Pénztár,6000,Kecskemét,Kurucz Krt.16.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
5111,100019,AGA Gáz Kft,AGA Gáz Kft,1848,Budapest,,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5112,100020,Agárdi György,Agárdi György,6115,Kunszállás,Tanya  94.,30/269-6838,30/6352081,,,,0,,,,43984727223,,,,,0,,,,Agárdi György,,0,,,,,,,5,,,,,,05,,,,Rádiótelefon,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
5113,100021,Agárdi Imre,Agárdi Imre,6076,Ágasegyháza,Bajcsy u.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5114,100022,Agárdi Lajos,Agárdi Lajos,6031,Szentkirály,Alkotmány u. 27.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5115,100023,Agárdi Róbert,Agárdi Róbert,6115,Kunszállás,T.94.,30/9950327,,,agardirobert@gmail.com,,0,,,,61389977223,,,,,0,,,,Agárdi Róbert,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
5116,100024,Kiskun Ceregold ,Kiskun Ceregold Szövetkezet,6000,Kecskemét,Búzakalász u.20.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
5117,100025,Agip Hungária Rt.,Agip Hungária Rt.,2040,Budaörs,Agip u. 4.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5118,100026,AGIP Töltõállomás,AGIP Töltõállomás,6100,Kiskunfélegyháza,E5 Fõ út 108. Km,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5119,100027,Ágos Mg. Szolg. Szöv,Ágos Mg. Szolg. Szövetkezet,6076,Ágasegyháza,Rákóczi u. 79.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,Ü,Üzem,59,,
5120,100028,Ágoston János,Ágoston János,6646,Tömörkény,Kápolna u. 52.,30/732-5331,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5121,100029,Ágoston József,Ágoston József,6646,Tömörkény,Kápolna u. 35.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
